date,costA,QA,costC,costB,cons_err
2025-07-10,82056.11769132275,15066.282676901228,75048.46390135166,314005.60772194003,0.022627656071172557
2025-07-11,42106.39378896,0.0,50470.48425885501,73107.56531496,2.2145841020673718
2025-07-12,36936.92960777,0.0,47986.39645966832,100850.23375136,1.771868615780888
2025-07-13,63869.829337680916,6103.937431975306,74341.21198120082,85272.81081527,0.04013106637742327
2025-07-14,68177.37298706801,8815.68556623045,72441.7401146075,69847.60018228501,0.021292154323445004
2025-07-15,63556.948787908,6736.319998522632,72510.6070310175,70328.04326653,0.052395570332829315
2025-07-16,61399.30513935189,6743.287990699584,72261.91991384666,78771.135468015,0.02171479626781164
2025-07-17,69627.42670362396,9771.646555423864,74664.45101983499,72563.322676465,0.022509458734510452
2025-07-18,47122.324444759994,0.0,51184.74239817416,76158.030597725,2.8414560079025084
2025-07-19,44004.22842555,0.0,50209.6290652325,68828.28595002,3.153143741573913
2025-07-20,67792.14375715295,8654.373270506163,72602.92630831,72282.411639225,0.07114551300860801
2025-07-21,64545.1565533588,6711.691630876542,74931.36039609581,75815.606135865,0.06661149113351285
2025-07-22,67773.07175261201,9367.400491104929,73475.33084841749,75415.65494929499,0.02368708458043624
2025-07-23,60635.021545128024,3565.1704322201576,77468.3304730625,73465.852427985,0.13741688371855276
2025-07-24,58330.51354524803,3543.1016667386825,74722.44329907083,75066.892812565,0.11828968369124869
2025-07-25,41218.821819200006,0.0,48108.61307203917,71958.528580655,2.9032528513326255
2025-07-26,41793.98834228,0.0,49285.990163012495,72040.193678045,2.7867918919141488
2025-07-27,75970.68359123825,11519.443238131684,76064.90015276166,72902.20530884499,0.05035790604387726
2025-07-28,77096.67909277201,11426.18003374279,77452.75714739083,78431.736741475,0.07618878942725624
2025-07-29,73005.19788994442,11002.416334911512,74951.53472192916,77024.40868728,0.029205603709652996
2025-07-30,75500.91636569284,12889.018249851848,74232.15630173334,87765.95049724999,0.02242477913404395
2025-07-31,77079.42340877713,12339.475157419749,75295.5247478325,75368.13088659,0.027444521959544724
